Real, Imaginary 
8906039355211121317,16542747983847624673
8271373991923812336,12734755804123770787
6367377902061885393,1310779264952209129
655389632476104564,3932337794856627387
1966168897428313693,11797013384569882161
5898506692284941080,16944296080000094867
17695520076854823241,13939400092581181369
16193072083145366492,4924712130324440875
11685728102016996245,14774136390973322625
16610440232341437120,7428921025500864643
12937832549605208129,3840019002793042313
1920009501396521156,11520057008379126939
5760028504189563469,16113426951427829201
17280085512568690408,11446792706864384371
14946768390286967993,15893634046883601497
7946817023441800748,10787413993231701259
5393706996615850629,13915497905985552161
16181120989847551888,4853005570537553251
11649874822123552433,14559016711612659753
16502880392661105684,6783561987418876027
12615153030564213821,1903941888547076465
951970944273538232,5711825665641229395
2855912832820614697,17135476996923688185
8567738498461844092,14512942843351961323
7256471421675980661,6645340382636780737
3322670191318390368,1489277074200790595
9968010573955171105,4467831222602371785
11457287648155961700,13403493667807115355
15925118870758333485,3316992856002242833
10881868464855897224,9950978568006728499
14198861320858140057,11406191630310633881
5703095815155316940,15771830817222350027
17109287445465950821,10422004304247946849
14434374188978749232,12819268839034288931
6409634419517144465,1564318369683763561
782159184841881780,4692955109051290683
2346477554525645341,14078865327153872049
7039432663576936024,5343107834042512915
2671553917021256457,16029323502127538745
8014661751063769372,11194482358963513003
5597241179481756501,15136703003180987393
16791723538445269504,8516620862123858947
13481682467916705281,7103118512662025225
3551559256331012612,2862611464276524059
10654677768993037837,8587834392829572177
13517289233269561896,7316759104779164915
3658379552389582457,3503533240627943129
10975138657168747372,10510599721883829387
14478671897796690501,13085055091941936545
6542527545970968272,2361677128406706403
1180838564203353201,7085031385220119209
3542515692610059604,2808350081950806011
10627547077830178813,8425050245852418033
13435897159780984824,6828406663847702483
3414203331923851241,2038475917833555833
10242609995771553724,6115427753500667499
12281085913605109557,18346283260502002497
18396513667105777056,18145361634086904259
18296052853898227937,17542596754841609545
17994670414275580580,15734302117105725403
17090523095407638509,10309418203898072977
14378081138803812296,12481510537984667315
6240755268992333657,551043466534898713
275521733267449356,1653130399604696139
826565199802348069,4959391198814088417
2479695599407044208,14878173596442265251
7439086798221132625,7741032641907692521
3870516320953846260,4776353852013525947
11611548962861538781,14329061556040577841
16387902814875064728,6093696520702630291
12270220297206090953,18281089562107890873
18363916817908721244,17949780538904569387
18198262306307060501,16955853469294604929
17701298771502078272,13974072260464711555
16210408167087131585,5028728633975031433
11737736353842291524,15086185901925094299
16766464987817322957,8365069558356179665
13405906816032865640,6648464601358987379
3324232300679493689,1498649730367410521
9972696902038481068,4495949191102231563
11471346632405891589,13487847573306694689
15967295823508123152,3570054572500980835
11008399323105266225,10710163717502942505
14578453895606247060,13683747078799275899
6841873539399637949,4157753088978724465
2078876544489362232,12473259266936173395
6236629633468086697,526289653389416953
263144826694708476,1578868960168250859
789434480084125429,4736606880504752577
2368303440252376288,14209820641514257731
7104910320757128865,5735973777123669961
2867986888561834980,17207921331371009883
8603960665685504941,14730275846693926417
7365137923346963208,7297339392662676019
3648669696331338009,3445274104278476441
10946009088994014028,10335822312835429323
14391283193272490469,12560722864796736353
6280361432398368176,788680446971105827
394340223485552913,2366041340913317481
1183020670456658740,7098124022739952443
3549062011369976221,2847627994510305713
10647186034109928664,8542883983530917139
13494814028620234377,7181907876883199801
3590953938441599900,3098979556940047787
10772861815324799701,9296938670820143361
13871841372264847488,9444071938750878467
4722035969375439233,9885471742543083785
14166107908126317700,11209671153919699739
5604835576959849869,15182269388049547601
16814506730879549608,8653320016729539571
13550032045219545593,7513215976479067097
3756607988239533548,4092903855727649675
11269823964718600645,12278711567182949025
15362727820446250320,18389390627839295459
9194695313919647729,18274683736098783145
9137341868049391572,17930563060877246203
8965281530438623101,16898201035212635377
8449100517606317688,13801114958218802899
6900557479109401449,4509856727237305465
2254928363618652732,13529570181711916395
6764785090855958197,3695222397716645953
1847611198858322976,11085667193149937859
5542833596574968929,14810257505740261961
16628500789724906788,7537284369801682651
12992014221755617133,4165109035695496337
2082554517847748168,12495327107086489011
6247663553543244505,592493173840363801
296246586920181900,1777479521521091403
888739760760545701,5332438564563274209
2666219282281637104,15997315693689822627
7998657846844911313,11098458933650364649
5549229466825182324,14848632727241542331
16647688400475546973,7652410034305523761
13049577054007537688,4510486029207019667
2255243014603509833,13531458087621059001
6765729043810529500,3700886115444073771
1850443057722036885,11102658346332221313
5551329173166110656,14861230965287112323
16653987519498331969,7690204748442233737
13068474411075892676,4623870171617149595
2311935085808574797,13871610514851448785
6935805257425724392,4721343397135243123
2360671698567621561,14164030191405729369
7082015095702864684,5598602426798084875
2799301213399042437,16795807280394254625
8397903640197127312,13493933693763660643
6746966846881830321,3588312933871878697
1794156466935939348,10764938801615636091
5382469400807818045,13848072331137356657
16147408202423454136,4650728845992966739
11548736459851259177,13952186537978900217
16199465305844225916,4963071466517597419
11704907770113574517,14889214399552792257
16667979236631171936,7774155051239273539
13110449562474412577,4875721080008269001
2437860540004134500,14627163240024807003
7313581620012403501,6988001572655317777
3494000786327658888,2517260644256401715
10482002358982976665,7551781932769205145
12999263003239378380,4208601724598063819
2104300862299031909,12625805173794191457
6312902586897095728,983927373963471139
491963686981735569,2951782121890413417
1475891060945206708,8855346365671240251
4427673182835620125,8119295023304169137
13283019548506860376,5911140996202955795
2955570498101477897,17733422988608867385
8866711494304433692,16306780818407498923
8153390409203749461,12026854307803393537
6013427153901696768,17633818849700628995
18040281461705090305,16007968401682783753
17227356237696167684,11130417057629248027
14788580565669399821,14944507099178192465
7472253549589096232,7940033150115474163
3970016575057737081,5373355376636870873
11910049725173211244,16120066129910612619
17283405101810082117,11466710242312734625
14956727158011143120,15953386653228652259
7976693326614326129,10966671812266853545
5483335906133426772,14453271363091009019
16450007718400280317,6466325941853923825
12456535007781737720,952233751852219859
476116875926109929,2856701255556659577
1428350627778329788,8570103766669978731
4285051883334989365,7263567226300384577
